t,T_sec,H_sec,P_gaz,Flame,V_Fl_1,V_Fl_2,V_Fl_3,V_H2,V_But,Etat
0.00,25.000,90.000,0,0,0,0,0,0,0,0
10.00,25.000,90.000,0,0,0,0,0,0,0,3
20.00,25.000,90.000,0,0,0,0,0,0,0,3
30.00,25.000,90.000,0,0,0,0,0,0,0,3
40.00,25.000,90.000,0,0,0,0,0,0,0,3
50.00,25.000,90.000,0,0,0,0,0,0,0,3
60.00,25.000,90.000,0,0,0,0,0,0,0,3
70.00,25.000,90.000,0,0,0,0,0,0,0,3
80.00,25.000,90.000,0,0,0,0,0,0,0,3
90.00,25.000,90.000,0,0,0,0,0,0,0,3
100.00,25.000,90.000,0,0,0,0,0,0,0,3
110.00,25.000,90.000,0,0,0,0,0,0,0,3
120.00,25.000,90.000,0,0,0,0,0,0,0,3
130.00,25.000,90.000,0,0,0,0,0,0,0,3
130.05,25.007,90.000,5000,0,1,1,1,1,0,3
130.10,25.014,90.000,5000,1,1,1,1,1,0,3
140.00,26.386,90.000,5000,1,1,1,1,1,0,3
150.00,27.768,90.000,5000,1,1,1,1,1,0,3
160.00,29.147,90.000,5000,1,1,1,1,1,0,3
170.00,30.521,90.000,5000,1,1,1,1,1,0,3
180.00,31.892,90.000,5000,1,1,1,1,1,0,3
190.00,33.258,90.000,5000,1,1,1,1,1,0,3
200.00,34.621,90.000,5000,1,1,1,1,1,0,3
210.00,35.980,89.997,5000,1,1,1,1,1,0,3
220.00,37.335,89.984,5000,1,1,1,1,1,0,3
222.15,37.624,89.980,3350,1,0,1,1,1,0,3
230.00,38.325,89.961,3350,1,0,1,1,1,0,3
240.00,39.216,89.931,3350,1,0,1,1,1,0,3
250.00,40.104,89.894,3350,1,0,1,1,1,0,3
260.00,40.990,89.850,3350,1,0,1,1,1,0,3
270.00,41.874,89.799,3350,1,0,1,1,1,0,3
280.00,42.755,89.740,3350,1,0,1,1,1,0,3
290.00,43.633,89.675,3350,1,0,1,1,1,0,3
300.00,44.509,89.603,3350,1,0,1,1,1,0,3
310.00,45.383,89.524,3350,1,0,1,1,1,0,3
320.00,46.254,89.439,3350,1,0,1,1,1,0,3
330.00,47.123,89.346,3350,1,0,1,1,1,0,3
335.15,47.567,89.296,1650,1,0,0,1,1,0,3
340.00,47.758,89.248,1650,1,0,0,1,1,0,3
350.00,48.151,89.145,1650,1,0,0,1,1,0,3
360.00,48.543,89.040,1650,1,0,0,1,1,0,3
370.00,48.933,88.932,1650,1,0,0,1,1,0,3
380.00,49.323,88.821,1650,1,0,0,1,1,0,3
390.00,49.712,88.708,1650,1,0,0,1,1,0,3
400.00,50.099,88.591,1650,1,0,0,1,1,0,3
410.00,50.486,88.471,1650,1,0,0,1,1,0,3
420.00,50.871,88.349,1650,1,0,0,1,1,0,3
430.00,51.255,88.224,1650,1,0,0,1,1,0,3
440.00,51.638,88.096,1650,1,0,0,1,1,0,3
450.00,52.020,87.966,1650,1,0,0,1,1,0,3
460.00,52.401,87.833,1650,1,0,0,1,1,0,3
470.00,52.781,87.697,1650,1,0,0,1,1,0,3
480.00,53.160,87.558,1650,1,0,0,1,1,0,3
490.00,53.538,87.417,1650,1,0,0,1,1,0,3
500.00,53.915,87.273,1650,1,0,0,1,1,0,3
510.00,54.290,87.127,1650,1,0,0,1,1,0,3
520.00,54.665,86.978,1650,1,0,0,1,1,0,3
